Time period,Electricity - Total consumption (kWh),Distribution - Basic charge (euro),Distribution - Electricity tax (euro),Distribution - VAT (euro),Distribution fee (euro),Spot price (c/kWh),Temperature (°C),Total (euro)
01.01.2022,2.02,0.24,0.05,0.09,0.07,9.88,-7.88,0.45
02.01.2022,5.67,0.24,0.13,0.13,0.19,7.38,-6.19,0.69
03.01.2022,1.84,0.24,0.04,0.08,0.06,9.96,-4.42,0.42
04.01.2022,1.52,0.24,0.03,0.08,0.05,15.14,-4.12,0.4
05.01.2022,4.87,0.24,0.11,0.12,0.16,15.02,-3.04,0.63
06.01.2022,2.37,0.24,0.05,0.09,0.08,20.9,-7.53,0.46
07.01.2022,4.81,0.24,0.11,0.12,0.16,20.52,-7.42,0.63
08.01.2022,4.54,0.24,0.1,0.12,0.15,19.99,-11.59,0.61
09.01.2022,2,0.24,0.05,0.09,0.07,17.92,-14.03,0.45
10.01.2022,1.47,0.24,0.03,0.08,0.05,30.81,-14.9,0.4
11.01.2022,1.89,0.24,0.04,0.08,0.06,20.22,-3.2,0.42
12.01.2022,1.85,0.24,0.04,0.08,0.06,10.59,1.45,0.42
13.01.2022,1.55,0.24,0.03,0.08,0.05,2.34,2.95,0.4
14.01.2022,2.77,0.24,0.06,0.1,0.09,7.45,1.42,0.49
15.01.2022,5.9,0.24,0.13,0.14,0.19,11.55,-0.43,0.7
16.01.2022,2.61,0.24,0.06,0.09,0.09,2.39,0.5,0.48
17.01.2022,1.75,0.24,0.04,0.08,0.06,9.63,-1.61,0.42
18.01.2022,1.73,0.24,0.04,0.08,0.06,18.19,-1.65,0.42
19.01.2022,2.54,0.24,0.06,0.09,0.08,7.68,3.11,0.47
20.01.2022,2.22,0.24,0.05,0.09,0.07,9.99,-1.43,0.45
21.01.2022,2.44,0.24,0.06,0.09,0.08,13.18,-1.79,0.47
22.01.2022,2.12,0.24,0.05,0.09,0.07,20.16,-5.67,0.45
23.01.2022,1.82,0.24,0.04,0.08,0.06,10.78,2.13,0.42
24.01.2022,1.87,0.24,0.04,0.08,0.06,7.67,1.76,0.42
25.01.2022,1.81,0.24,0.04,0.08,0.06,16.62,-1.52,0.42
26.01.2022,1.74,0.24,0.04,0.08,0.06,12.82,-2.27,0.42
27.01.2022,2.43,0.24,0.05,0.09,0.08,16.89,-1.43,0.46
28.01.2022,1.52,0.24,0.03,0.08,0.05,15.39,-2.98,0.4
29.01.2022,2.97,0.24,0.07,0.1,0.1,3.07,-1.62,0.51
30.01.2022,2.32,0.24,0.05,0.09,0.08,4.47,-2.73,0.46
31.01.2022,2.17,0.24,0.05,0.09,0.07,20.99,-7.17,0.45
